S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
1,2019121501009401,IGI,35,6,100,307,30700.00
2,2019121501009402,KSBBL,21,51,510,141,71910.00
3,2019121501009403,NICA,36,44,127,420,53340.00
4,2019121501009404,NICA,36,44,200,420,84000.00
5,2019121501009405,NICA,36,44,100,420,42000.00
6,2019121501009406,NICA,36,44,200,420,84000.00
7,2019121501009407,NICA,36,32,496,420,208320.00
8,2019121501009408,NICA,36,46,55,420,23100.00
9,2019121501009409,NICA,36,22,200,420,84000.00
10,2019121501009410,NICA,36,41,122,420,51240.00
11,2019121501009411,MBL,33,55,10,224,2240.00
12,2019121501009412,SICL,46,1,30,860,25800.00
13,2019121501009413,GFCL,17,42,50,136,6800.00
14,2019121501009414,GFCL,17,41,21,136,2856.00
15,2019121501009415,GFCL,17,1,29,138,4002.00
16,2019121501009416,SLBBL,32,37,10,566,5660.00
17,2019121501009417,GMFBS,28,43,10,580,5800.00
18,2019121501009418,UIC,57,3,115,292,33580.00
19,2019121501009419,UIC,50,3,100,290,29000.00
20,2019121501009420,UIC,22,3,100,290,29000.00
